{'--activation': 'tanh',
 '--dropout': '0.70',
 '--epoch': '50',
 '--hidden': '100',
 '--lr': '0.1',
 '--mem_dim': '100',
 '--model': 'classification',
 '--optim': 'adagrad',
 '--reg': '3e-3',
 '--truncate_grad': '50',
 '<data>': 'data/senna0'}
{"dev_acc": 0.33777571886954055, "dev_loss": 2.2334244834880033, "epoch": 40, "train_acc": 0.70712464918544193, "train_loss": 1.1624906745540802}
{"dev_acc": 0.33541771610995291, "dev_loss": 2.2541348353649178, "epoch": 41, "train_acc": 0.72043939391304457, "train_loss": 1.1221138894878573}
{"dev_acc": 0.33310852822500914, "dev_loss": 2.2620310485363007, "epoch": 42, "train_acc": 0.71827614182600652, "train_loss": 1.1107607665624408}
{"dev_acc": 0.35482722046077853, "dev_loss": 2.234872093734642, "epoch": 43, "train_acc": 0.70604684652503824, "train_loss": 1.1464930394297985}
{"dev_acc": 0.33157112211471357, "dev_loss": 2.2400447622252009, "epoch": 44, "train_acc": 0.71918495829200457, "train_loss": 1.1077440400010539}
{"dev_acc": 0.32362979268711589, "dev_loss": 2.2610212195043764, "epoch": 45, "train_acc": 0.73382662373170249, "train_loss": 1.0939572144864647}
{"dev_acc": 0.32069576270871947, "dev_loss": 2.2683104385311403, "epoch": 46, "train_acc": 0.73080409336504937, "train_loss": 1.1179030869885149}
{"dev_acc": 0.32649409891629833, "dev_loss": 2.2226806152611971, "epoch": 47, "train_acc": 0.72270148101706477, "train_loss": 1.0712940245275158}
{"dev_acc": 0.32191074521419361, "dev_loss": 2.3149355777228871, "epoch": 48, "train_acc": 0.73043587181890668, "train_loss": 1.1012772128184434}
{"dev_acc": 0.32536301960750197, "dev_loss": 2.2613963189845285, "epoch": 49, "train_acc": 0.72002477845335755, "train_loss": 1.0859006349737832}
{"dev_acc": 0.33284629017530193, "dev_loss": 2.3085597322011986, "epoch": 50, "train_acc": 0.73594717687051325, "train_loss": 1.0550189247640178}
{'test_acc': 0.31024772172265747,
 'test_f1_macro': 0.18106718426096002,
 'test_f1_micro': 0.34071776694727512,
 'test_loss': 2.4002334892749788}
